Metoda skalowania,Metoda selekcji,Elitaryzm,Prawdopodobieństwo krzyżowania,Prawdopodobieństwo mutacji,Wynik,Osiągnięty w generacji
rankingowe wykładnicze,wyboru losowego z powtórzeniami,true,0.2,0.01,0.47877,118
rankingowe wykładnicze,wyboru losowego z powtórzeniami,true,0.2,0.02,0.39897,626
rankingowe wykładnicze,wyboru losowego z powtórzeniami,true,0.2,0.03,0.39804,690
rankingowe wykładnicze,wyboru losowego z powtórzeniami,true,0.2,0.04,0.3979,496
rankingowe wykładnicze,wyboru losowego z powtórzeniami,true,0.2,0.05,0.40556,956
rankingowe wykładnicze,wyboru losowego z powtórzeniami,true,0.2,0.06,0.39864,908
rankingowe wykładnicze,wyboru losowego z powtórzeniami,true,0.2,0.07,0.39795,629
rankingowe wykładnicze,wyboru losowego z powtórzeniami,true,0.2,0.08,0.39803,846
rankingowe wykładnicze,wyboru losowego z powtórzeniami,true,0.2,0.09,0.39846,202
rankingowe wykładnicze,wyboru losowego z powtórzeniami,true,0.2,0.1,0.39913,999
rankingowe wykładnicze,wyboru losowego z powtórzeniami,true,0.2,0.2,0.39798,998
rankingowe wykładnicze,wyboru losowego z powtórzeniami,true,0.2,0.3,0.39791,482
rankingowe wykładnicze,wyboru losowego z powtórzeniami,true,0.2,0.4,0.39792,674
rankingowe wykładnicze,wyboru losowego z powtórzeniami,true,0.2,0.5,0.39798,970
rankingowe wykładnicze,wyboru losowego z powtórzeniami,true,0.2,0.6,0.3979,942
rankingowe wykładnicze,wyboru losowego z powtórzeniami,true,0.2,0.7,0.3983,707
rankingowe wykładnicze,wyboru losowego z powtórzeniami,true,0.2,0.8,0.39826,857
rankingowe wykładnicze,wyboru losowego z powtórzeniami,true,0.2,0.9,0.39841,544
